GroupID,Sex,Race/Ethnicity,People,AgeGroup,Diabetes mellitus (E10-E14),"COVID-19 (U071, Underlying Cause of Death)",RowNumber,Rank,COVID Complication
-1,0,1,2597970,0,0,0,0,0,0
-2,0,1,5387417,5,0,0,0,0,0
-3,0,1,5053804,15,0,0,0,0,0
-4,0,1,4978198,25,0,0,0,0,0
-5,0,1,4460940,35,0,0,0,0,0
-6,0,1,4039952,45,0,0,0,0,0
-7,0,1,2477993,55,0,0,0,0,0
-8,0,1,1292446,65,0,0,0,0,0
-9,0,1,546044,75,0,0,0,0,0
-10,0,1,185323,85,0,0,0,0,0
-11,1,1,2496241,0,0,0,0,0,0
-12,1,1,5180169,5,0,0,0,0,0
-13,1,1,4830786,15,0,0,0,0,0
-14,1,1,4547065,25,0,0,0,0,0
-15,1,1,4195545,35,0,0,0,0,0
-16,1,1,3537306,45,0,0,0,0,0
-17,1,1,2598935,55,0,0,0,0,0
-18,1,1,1529673,65,0,0,0,0,0
-19,1,1,761707,75,0,0,0,0,0
-20,1,1,323773,85,0,0,0,0,0
-21,0,5,7198417,0,0,0,0,0,0
-22,0,5,15131778,5,0,0,0,0,0
-23,0,5,16011892,15,0,0,0,0,0
-24,0,5,17169835,25,0,0,0,0,0
-25,0,5,15809201,35,0,0,0,0,0
-26,0,5,15781686,45,0,0,0,0,0
-27,0,5,16638173,55,0,0,0,0,0
-28,0,5,12362274,65,0,0,0,0,0
-29,0,5,5781739,75,0,0,0,0,0
-30,0,5,2070601,85,0,0,0,0,0
-31,1,5,6856667,0,0,0,0,0,0
-32,1,5,38267171,5,0,0,0,0,0
-33,1,5,31182182,15,0,0,0,0,0
-34,1,5,23656824,25,0,0,0,0,0
-35,1,5,15394774,35,0,0,0,0,0
-36,1,5,15756904,45,0,0,0,0,0
-37,1,5,17414888,55,0,0,0,0,0
-38,1,5,13765649,65,0,0,0,0,0
-39,1,5,7551472,75,0,0,0,0,0
-40,1,5,3619254,85,0,0,0,0,0
-41,0,4,1499357,0,0,0,0,0,0
-42,0,4,3137878,5,0,0,0,0,0
-43,0,4,3267885,15,0,0,0,0,0
-44,0,4,3563305,25,0,0,0,0,0
-45,0,4,2723729,35,0,0,0,0,0
-46,0,4,2529998,45,0,0,0,0,0
-47,0,4,2369016,55,0,0,0,0,0
-48,0,4,1162876,65,0,0,0,0,0
-49,0,4,549833,75,0,0,0,0,0
-50,0,4,161831,85,0,0,0,0,0
-51,1,4,6856667,0,0,0,0,0,0
-52,1,4,7727858,5,0,0,0,0,0
-53,1,4,6178685,15,0,0,0,0,0
-54,1,4,4552150,25,0,0,0,0,0
-55,1,4,2892147,35,0,0,0,0,0
-56,1,4,2893841,45,0,0,0,0,0
-57,1,4,2396522,55,0,0,0,0,0
-58,1,4,1289317,65,0,0,0,0,0
-59,1,4,716430,75,0,0,0,0,0
-60,1,4,367289,85,0,0,0,0,0
-61,1,2,154124,0,0,0,0,0,0
-62,1,2,323326,5,0,0,0,0,0
-63,1,2,317846,15,0,0,0,0,0
-64,1,2,317279,25,0,0,0,0,0
-65,1,2,272876,35,0,0,0,0,0
-66,1,2,245490,45,0,0,0,0,0
-67,1,2,227860,55,0,0,0,0,0
-68,1,2,138030,65,0,0,0,0,0
-69,1,2,60279,75,0,0,0,0,0
-70,1,2,22176,85,0,0,0,0,0
-71,0,2,160102,0,0,0,0,0,0
-72,0,2,335209,5,0,0,0,0,0
-73,0,2,330003,15,0,0,0,0,0
-74,0,2,344901,25,0,0,0,0,0
-75,0,2,290505,35,0,0,0,0,0
-76,0,2,250285,45,0,0,0,0,0
-77,0,2,214611,55,0,0,0,0,0
-78,0,2,122177,65,0,0,0,0,0
-79,0,2,47808,75,0,0,0,0,0
-80,0,2,13205,85,0,0,0,0,0
-81,0,3,521862,0,0,0,0,0,0
-82,0,3,1114886,5,0,0,0,0,0
-83,0,3,1238658,15,0,0,0,0,0
-84,0,3,1635538,25,0,0,0,0,0
-85,0,3,1472116,35,0,0,0,0,0
-86,0,3,1249824,45,0,0,0,0,0
-87,0,3,903957,55,0,0,0,0,0
-88,0,3,665448,65,0,0,0,0,0
-89,0,3,314268,75,0,0,0,0,0
-90,0,3,109926,85,0,0,0,0,0
-91,1,3,493188,0,0,0,0,0,0
-92,1,3,1071226,5,0,0,0,0,0
-93,1,3,1395638,15,0,0,0,0,0
-94,1,3,1698818,25,0,0,0,0,0
-95,1,3,1659577,35,0,0,0,0,0
-96,1,3,1429034,45,0,0,0,0,0
-97,1,3,1180969,55,0,0,0,0,0
-98,1,3,850400,65,0,0,0,0,0
-99,1,3,405278,75,0,0,0,0,0
-100,1,3,184150,85,0,0,0,0,0
-101,0,6,599798,0,0,0,0,0,0
-102,0,6,1160368,5,0,0,0,0,0
-103,0,6,901088,15,0,0,0,0,0
-104,0,6,642695,25,0,0,0,0,0
-105,0,6,431858,35,0,0,0,0,0
-106,0,6,311810,45,0,0,0,0,0
-107,0,6,254100,55,0,0,0,0,0
-108,0,6,146848,65,0,0,0,0,0
-109,0,6,59384,75,0,0,0,0,0
-110,0,6,18351,85,0,0,0,0,0
-111,1,6,576143,0,0,0,0,0,0
-112,1,6,1117241,5,0,0,0,0,0
-113,1,6,876614,15,0,0,0,0,0
-114,1,6,661252,25,0,0,0,0,0
-115,1,6,473748,35,0,0,0,0,0
-116,1,6,347103,45,0,0,0,0,0
-117,1,6,284584,55,0,0,0,0,0
-118,1,6,145770,65,0,0,0,0,0
-119,1,6,77167,75,0,0,0,0,0
-120,1,6,31670,85,0,0,0,0,0
